EAN;PRODUTO;DESCRITIVO
7896052600236;254168;REFRIG SCHIN 2L SABOR ESP  ITUBAINA
7896283800238;262194;LEITE LV  JUSSARA 1L DESNATADO
7501001156176;257701;ABS ALWAYS BASICO C/8 C/A SUAVE AMARELA
7501001156190;257718;ABS ALWAYS BASICO C/8 S/A SUAVE AMARELA
7894000034638;258241;ADES 1L MARACUJA
7894000034669;258265;ADES 1L MANGA
7896005800010;271332;CAFE 3 CORACOES 500G TRADICIONAL
7891079000250;274135;MAC INST NIS LAM 85G BACON
7891132000791;260305;MID  GRAVIOLA
7891132000777;260312;MID  PESSEGO
7891079001509;275910;MAC INST NIS LAM 85G CREM PIZZA
7891000063774;275934;MUCILON SACHE 230GR MILHO
7891107101621;251785;OLEO SOJA SOYA
7896205754441;281355;MAC ADRIA 500G TORTIGLIONE
7891018000020;290654;CAFE  BRASILEIRO 500G     TRAD
7891000120903;281546;CR LEITE  LT 300G NESTLE
7896085009839;217385;BISC 200G CRACKERS  ORIG ADRIA
7896341101987;328012;SALG TORCIDA 60G BACON
7898422752804;328470;ST LUX SUAVE 90G FRESCOR IRRESISTI
7896279600538;328487;OLEO SOJA  COAMO PET 900ml
7622300281489;328500;BISC CLUB SOCIAL 150G PRESUNTO
7897380000309;329118;LEITE LV  HERCULES 1L INTEGRAL
7898422752781;319638;ST LUX SUAVE 90G SURPRESA DE MORANGO
7896094910904;473699;ADOC LIQ ZERO CAL 100ml CICLAMATO
7891528038049;618106;CD SORRISO  90G DENTES BRANCOS
7896036094983;621564;EXTR TOM  LATA 340G ELEFANTE
7897766200019;623094;FEIJAO 1kg TARUMA
7896534400064;623131;FAR TRIGO  1kg GLOBO  ESPECIAL
7898024830023;626484;INS AERO SBP MULTI 300ml  TRADICIONAL
7898422752835;323949;ST LUX SUAVE 90G  ENERGIA GUARANA
7896102501155;476942;MILHO VERDE LATA QUERO 200G
7896102502305;477017;EXTR TOM  LATA 350G QUERO
7896102505016;477222;SELETA LEGUMES  QUERO 200G LATA
7896381502102;526845;AGUA SANIT 1L TAY
7896569405027;547994;LEITE LV  LIDER DESNATADO
7898422752828;323581;ST LUX SUAVE 90G DEL. MACADAMIA
7896010000207;661188;VODKA  SMIRNOFF 1L TRADICIONAL
7898994119418;316101;CAFE  QUE BOM 500G TRAD
7896085074448;326568;BISC ADRIA TORTINHAS 160G CHOC SUI
7894000181011;326070;ADES 1L LARANJA
7896283800429;286671;LEITE LV  JUSSARA 1L SEMI DESNATADO
7894900038392;662017;REFRIG FANTA PET 2L LARANJA
7894900058390;662031;REFRIG FANTA PET 2L UVA
7894900918397;662055;REFRIG KUAT PET 2L
7894900018394;662062;REFRIG COCA COLA PET 2L
7891991009997;662079;REFRIG GUARANA ANTAR PET 2L
7894900011609;662093;REFRIG COCA COLA PET  600ml
7894900010220;662192;REFRIG COCA COLA LATA 350ml
7891000262108;663250;NESTON TRADICIONAL 400G 3 CEREAIS
7896002100014;664011;AGUARD  51 965ml  VIDRO    TRAD
7896010002133;665285;CONHAQUE DREHER 900ml
7896462300764;295338;REFRIG DOLLY 2L DIET UVA
7898422754280;289146;SH SEDA 350ML CRESC FORTIFICADO
7896035210025;262507;SAL REF 1KG CLIPPER
7897664130500;317467;DET LIQ  MINUANO 500ml LARANJA
7896102509410;306386;MOLHO TOM SACHET 340G QUERO TRAD
7896102509434;306454;MAIONESE SACHET 200G QUERO
7891300908218;282444;SALSARETTI LATA 340G TRAD
7896052603435;327749;REFRIG SCHIN 2L UVA
7891000035634;327800;MUCILON SACHE M.CEREAIS 230G
7891000063811;327817;MUCILON SACHE ARROZ AVEIA 230G
7894900701609;315401;REFRIG COCA COLA PET  600ml ZERO
7896205774197;328203;MAC INST ADRIA 85G PICANHA
7791293005188;315876;DES AXE AERO COMPACT 90ML DARK TEPTATION
7891156001040;769426;YAKULT C/6
7896105500094;772310;AGUA SANIT 2L CANDURA
7896434920396;317047;LEITE COND  LT  395G  TRIANGULO
7896098903032;336567;AMAC 2L YPE AZUL INTENSO
7622300288631;203470;BISC TRAKINAS MAIS RECHEIO 154G CHO
7622300288648;203487;BISC TRAKINAS MAIS RECHEIO 154G MOR
7622300288655;128865;BISC TRAKINAS MEIO MEIO 154G CHOC/B
7891021001885;194501;FILTRO PAPEL 102 MAX MELITTA C/30UN
7891037144705;758666;CR SEDA P/PENTEAR 300G CERAMIDA
7896045512317;765091;CERV LATA KAISER
7896098902394;170512;AMAC 2L YPE BRANCO AMOR
7897951614430;185707;MILK MIX 1L LIGHT MORANGO
7897951614461;185783;MILK MIX 1L LIGHT COCO
7891018003182;327305;CAFE  BRASILEIRO 500G  SUPER FORTE
7622300178963;327428;BISC CLUB SOCIAL 150G QUEIJO
7896085056840;162210;BISC ADRIA TORTINHAS 160G TORTA LIM
7622300391737;764469;REFR TANG PRO MELANCIA 30G
7897664130302;299305;DET LIQ  MINUANO 500ml COCO
7897951614478;185806;MILK MIX 1L LIGHT VITAMINA
7891132001507;296717;MID  CUPUACU
7896584300239;299428;FEIJAO 1kg CHAMINE
7891515900663;675239;MARG  DORIANA 500G S/SAL
7898093190240;676359;FEIJAO 1kg PRETO TARUMA
7896462301075;136662;REFRIG DOLLY 2L MACA
7622300325220;171717;REFR FRESH SALADA DE FRUTAS
7896205772735;306836;MAC INST ADRIA 85G CARNE
7891000067697;171847;LEITE COND  LT  395G  NESTLE LIGHT
7891021001946;195317;FILTRO PAPEL 103 MAX MELITTA C/30
7894321722016;697545;ACHOC L PRONTO 200ml TODDYNHO TRA
7891037000322;708012;CR SEDA P/PENTEAR 300G CACHOS C
7891037000308;708043;SH SEDA 350ML CACHOS COMPORTADOS
7891991002141;712781;CERV LATA ANTARCTICA
7896205772742;314350;MAC INST ADRIA 85G GALINHA CAIPIRA
7897766200026;736824;FEIJAO 1kg TUCUMA
9002490100490;740913;ENERGETICO RED BULL 250ml TRAD LATA
;179256;ABACAXI HAWAI/PEROLA   UN*
7891150003910;206969;ST LUX SUAVE 90G VINHO DEGUSTA-ME
7894000047522;54751;ADES 1L ABACAXI
7896090405015;54874;ST FRANCIS SUAVE 90G SANDALO
7891132002443;339735;MID  JABUTICABA
7891991010030;376921;CERV LATA ANTAR SUBZERO
7896242200048;240505;OLEO SOJA ABC 900ml
7892840812591;316439;H2OH PET 500ml LIMAO E MACA
7896052603176;50265;REFRIG SCHIN 2L CITRUS
;3773;BERINJELA *************************
7590002025314;51354;ABS ALWAYS BASICO C/8 C/A M.SECA LAR
7893500020158;130479;ARROZ  5kg  TIO JOAO T1
7891150002395;20862;SH SEDA 350ML SOS RECONST ESTRUTUR
7896341130307;334839;SALG TORCIDA 50G PIMENTA MEXICANA
7891021002165;332873;FILTRO PAPEL 103 JOVITA C/30UN
7622300288402;176811;BISC TRAKINAS  TRAD 154G MOR
7896075300717;255844;TOALHA PAPEL  YURI 2UN 100 FOLHAS
7897380000316;337199;LEITE LV  HERCULES 1L DESNATADO
7896085075087;206785;BISC ADRIA TORTINHAS 160G FEST BEIJ
7896085075070;206792;BISC ADRIA TORTINHAS 160G FEST MOR
7896019613453;725064;CHOC LACTA BIS 20UN  BRANCO
7622300391065;78856;REFR TANG PRO CAJU 30G
7622300391461;78863;REFR TANG PRO LARANJA 30G
7891079012130;55857;MAC INST NIS LAM 85G CREM CARNE
;58483;ENERGETICO RED BULL 250ml TRAD LATA GELADO
;58599;ACHOC L PRONTO 200ml TODDYNHO GELADO
7896098900161;66310;AMAC 2L YPE ROSA ETERNO
7896098900185;66327;DET LIQ  YPE  500ml ANTIBAC
7622300391805;70638;REFR TANG PRO MACA  30G
